"n.tips","q.rate","s","method","rate","n.sig","n.valid","metric"
50,0.1,1,"anccond.01",0.0104712041884817,2,191,"FPR"
100,0.1,1,"anccond.01",0.0264550264550265,5,189,"FPR"
200,0.1,1,"anccond.01",0.0408163265306122,8,196,"FPR"
500,0.1,1,"anccond.01",0.0303030303030303,6,198,"FPR"
50,0.5,1,"anccond.01",0.055,11,200,"FPR"
100,0.5,1,"anccond.01",0.04,8,200,"FPR"
200,0.5,1,"anccond.01",0.025,5,200,"FPR"
500,0.5,1,"anccond.01",0.05,10,200,"FPR"
50,1,1,"anccond.01",0.04,8,200,"FPR"
100,1,1,"anccond.01",0.065,13,200,"FPR"
200,1,1,"anccond.01",0.05,10,200,"FPR"
500,1,1,"anccond.01",0.03,6,200,"FPR"
50,2,1,"anccond.01",0.05,10,200,"FPR"
100,2,1,"anccond.01",0.065,13,200,"FPR"
200,2,1,"anccond.01",0.035,7,200,"FPR"
500,2,1,"anccond.01",0.065,13,200,"FPR"
50,0.1,2,"anccond.01",0.0161290322580645,3,186,"power"
100,0.1,2,"anccond.01",0.0408163265306122,8,196,"power"
200,0.1,2,"anccond.01",0.0255102040816327,5,196,"power"
500,0.1,2,"anccond.01",0.08,16,200,"power"
50,0.5,2,"anccond.01",0.055,11,200,"power"
100,0.5,2,"anccond.01",0.035,7,200,"power"
200,0.5,2,"anccond.01",0.105,21,200,"power"
500,0.5,2,"anccond.01",0.16,32,200,"power"
50,1,2,"anccond.01",0.075,15,200,"power"
100,1,2,"anccond.01",0.09,18,200,"power"
200,1,2,"anccond.01",0.17,34,200,"power"
500,1,2,"anccond.01",0.29,58,200,"power"
50,2,2,"anccond.01",0.07,14,200,"power"
100,2,2,"anccond.01",0.135,27,200,"power"
200,2,2,"anccond.01",0.22,44,200,"power"
500,2,2,"anccond.01",0.465,93,200,"power"
50,0.1,3,"anccond.01",0.032967032967033,6,182,"power"
100,0.1,3,"anccond.01",0.0364583333333333,7,192,"power"
200,0.1,3,"anccond.01",0.0710659898477157,14,197,"power"
500,0.1,3,"anccond.01",0.065,13,200,"power"
50,0.5,3,"anccond.01",0.1,20,200,"power"
100,0.5,3,"anccond.01",0.09,18,200,"power"
200,0.5,3,"anccond.01",0.205,41,200,"power"
500,0.5,3,"anccond.01",0.28,56,200,"power"
50,1,3,"anccond.01",0.11,22,200,"power"
100,1,3,"anccond.01",0.23,46,200,"power"
200,1,3,"anccond.01",0.295,59,200,"power"
500,1,3,"anccond.01",0.555,111,200,"power"
50,2,3,"anccond.01",0.145,29,200,"power"
100,2,3,"anccond.01",0.29,58,200,"power"
200,2,3,"anccond.01",0.45,90,200,"power"
500,2,3,"anccond.01",0.745,149,200,"power"
50,0.1,5,"anccond.01",0.0364583333333333,7,192,"power"
100,0.1,5,"anccond.01",0.0567010309278351,11,194,"power"
200,0.1,5,"anccond.01",0.0703517587939698,14,199,"power"
500,0.1,5,"anccond.01",0.09,18,200,"power"
50,0.5,5,"anccond.01",0.115,23,200,"power"
100,0.5,5,"anccond.01",0.16,32,200,"power"
200,0.5,5,"anccond.01",0.25,50,200,"power"
500,0.5,5,"anccond.01",0.475,95,200,"power"
50,1,5,"anccond.01",0.16,32,200,"power"
100,1,5,"anccond.01",0.335,67,200,"power"
200,1,5,"anccond.01",0.51,102,200,"power"
500,1,5,"anccond.01",0.82,164,200,"power"
50,2,5,"anccond.01",0.275,55,200,"power"
100,2,5,"anccond.01",0.48,96,200,"power"
200,2,5,"anccond.01",0.765,153,200,"power"
500,2,5,"anccond.01",0.97,194,200,"power"
50,0.1,10,"anccond.01",0.0454545454545455,9,198,"power"
100,0.1,10,"anccond.01",0.0858585858585859,17,198,"power"
200,0.1,10,"anccond.01",0.13,26,200,"power"
500,0.1,10,"anccond.01",0.2,40,200,"power"
50,0.5,10,"anccond.01",0.17,34,200,"power"
100,0.5,10,"anccond.01",0.18,36,200,"power"
200,0.5,10,"anccond.01",0.355,71,200,"power"
500,0.5,10,"anccond.01",0.7,140,200,"power"
50,1,10,"anccond.01",0.25,50,200,"power"
100,1,10,"anccond.01",0.405,81,200,"power"
200,1,10,"anccond.01",0.72,144,200,"power"
500,1,10,"anccond.01",0.925,185,200,"power"
50,2,10,"anccond.01",0.335,67,200,"power"
100,2,10,"anccond.01",0.67,134,200,"power"
200,2,10,"anccond.01",0.88,176,200,"power"
500,2,10,"anccond.01",0.995,199,200,"power"
50,0.1,1,"anccond.10",0.00549450549450549,1,182,"FPR"
100,0.1,1,"anccond.10",0.0260416666666667,5,192,"FPR"
200,0.1,1,"anccond.10",0.0257731958762887,5,194,"FPR"
500,0.1,1,"anccond.10",0.0653266331658292,13,199,"FPR"
50,0.5,1,"anccond.10",0.045,9,200,"FPR"
100,0.5,1,"anccond.10",0.045,9,200,"FPR"
200,0.5,1,"anccond.10",0.085,17,200,"FPR"
500,0.5,1,"anccond.10",0.05,10,200,"FPR"
50,1,1,"anccond.10",0.07,14,200,"FPR"
100,1,1,"anccond.10",0.03,6,200,"FPR"
200,1,1,"anccond.10",0.03,6,200,"FPR"
500,1,1,"anccond.10",0.045,9,200,"FPR"
50,2,1,"anccond.10",0.03,6,200,"FPR"
100,2,1,"anccond.10",0.04,8,200,"FPR"
200,2,1,"anccond.10",0.055,11,200,"FPR"
500,2,1,"anccond.10",0.035,7,200,"FPR"
50,0.1,2,"anccond.10",0.0211640211640212,4,189,"power"
100,0.1,2,"anccond.10",0.0416666666666667,8,192,"power"
200,0.1,2,"anccond.10",0.0251256281407035,5,199,"power"
500,0.1,2,"anccond.10",0.0753768844221105,15,199,"power"
50,0.5,2,"anccond.10",0.085,17,200,"power"
100,0.5,2,"anccond.10",0.04,8,200,"power"
200,0.5,2,"anccond.10",0.095,19,200,"power"
500,0.5,2,"anccond.10",0.105,21,200,"power"
50,1,2,"anccond.10",0.07,14,200,"power"
100,1,2,"anccond.10",0.115,23,200,"power"
200,1,2,"anccond.10",0.16,32,200,"power"
500,1,2,"anccond.10",0.35,70,200,"power"
50,2,2,"anccond.10",0.095,19,200,"power"
100,2,2,"anccond.10",0.155,31,200,"power"
200,2,2,"anccond.10",0.29,58,200,"power"
500,2,2,"anccond.10",0.475,95,200,"power"
50,0.1,3,"anccond.10",0.0211640211640212,4,189,"power"
100,0.1,3,"anccond.10",0.041025641025641,8,195,"power"
200,0.1,3,"anccond.10",0.0710659898477157,14,197,"power"
500,0.1,3,"anccond.10",0.0954773869346734,19,199,"power"
50,0.5,3,"anccond.10",0.04,8,200,"power"
100,0.5,3,"anccond.10",0.13,26,200,"power"
200,0.5,3,"anccond.10",0.165,33,200,"power"
500,0.5,3,"anccond.10",0.27,54,200,"power"
50,1,3,"anccond.10",0.15,30,200,"power"
100,1,3,"anccond.10",0.135,27,200,"power"
200,1,3,"anccond.10",0.31,62,200,"power"
500,1,3,"anccond.10",0.55,110,200,"power"
50,2,3,"anccond.10",0.155,31,200,"power"
100,2,3,"anccond.10",0.315,63,200,"power"
200,2,3,"anccond.10",0.4,80,200,"power"
500,2,3,"anccond.10",0.75,150,200,"power"
50,0.1,5,"anccond.10",0.0303030303030303,6,198,"power"
100,0.1,5,"anccond.10",0.0609137055837563,12,197,"power"
200,0.1,5,"anccond.10",0.085,17,200,"power"
500,0.1,5,"anccond.10",0.175,35,200,"power"
50,0.5,5,"anccond.10",0.11,22,200,"power"
100,0.5,5,"anccond.10",0.195,39,200,"power"
200,0.5,5,"anccond.10",0.21,42,200,"power"
500,0.5,5,"anccond.10",0.525,105,200,"power"
50,1,5,"anccond.10",0.145,29,200,"power"
100,1,5,"anccond.10",0.265,53,200,"power"
200,1,5,"anccond.10",0.5,100,200,"power"
500,1,5,"anccond.10",0.81,162,200,"power"
50,2,5,"anccond.10",0.245,49,200,"power"
100,2,5,"anccond.10",0.49,98,200,"power"
200,2,5,"anccond.10",0.705,141,200,"power"
500,2,5,"anccond.10",0.935,187,200,"power"
50,0.1,10,"anccond.10",0.0808080808080808,16,198,"power"
100,0.1,10,"anccond.10",0.0904522613065327,18,199,"power"
200,0.1,10,"anccond.10",0.0904522613065327,18,199,"power"
500,0.1,10,"anccond.10",0.23,46,200,"power"
50,0.5,10,"anccond.10",0.17,34,200,"power"
100,0.5,10,"anccond.10",0.165,33,200,"power"
200,0.5,10,"anccond.10",0.31,62,200,"power"
500,0.5,10,"anccond.10",0.62,124,200,"power"
50,1,10,"anccond.10",0.23,46,200,"power"
100,1,10,"anccond.10",0.46,92,200,"power"
200,1,10,"anccond.10",0.69,138,200,"power"
500,1,10,"anccond.10",0.93,186,200,"power"
50,2,10,"anccond.10",0.395,79,200,"power"
100,2,10,"anccond.10",0.63,126,200,"power"
200,2,10,"anccond.10",0.9,180,200,"power"
500,2,10,"anccond.10",0.99,198,200,"power"
50,0.1,1,"pgls",0.06,12,200,"FPR"
100,0.1,1,"pgls",0.04,8,200,"FPR"
200,0.1,1,"pgls",0.025,5,200,"FPR"
500,0.1,1,"pgls",0.05,10,200,"FPR"
50,0.5,1,"pgls",0.055,11,200,"FPR"
100,0.5,1,"pgls",0.03,6,200,"FPR"
200,0.5,1,"pgls",0.055,11,200,"FPR"
500,0.5,1,"pgls",0.03,6,200,"FPR"
50,1,1,"pgls",0.035,7,200,"FPR"
100,1,1,"pgls",0.065,13,200,"FPR"
200,1,1,"pgls",0.04,8,200,"FPR"
500,1,1,"pgls",0.065,13,200,"FPR"
50,2,1,"pgls",0.045,9,200,"FPR"
100,2,1,"pgls",0.09,18,200,"FPR"
200,2,1,"pgls",0.055,11,200,"FPR"
500,2,1,"pgls",0.065,13,200,"FPR"
50,0.1,2,"pgls",0.075,15,200,"power"
100,0.1,2,"pgls",0.055,11,200,"power"
200,0.1,2,"pgls",0.04,8,200,"power"
500,0.1,2,"pgls",0.07,14,200,"power"
50,0.5,2,"pgls",0.04,8,200,"power"
100,0.5,2,"pgls",0.055,11,200,"power"
200,0.5,2,"pgls",0.04,8,200,"power"
500,0.5,2,"pgls",0.06,12,200,"power"
50,1,2,"pgls",0.07,14,200,"power"
100,1,2,"pgls",0.06,12,200,"power"
200,1,2,"pgls",0.065,13,200,"power"
500,1,2,"pgls",0.085,17,200,"power"
50,2,2,"pgls",0.05,10,200,"power"
100,2,2,"pgls",0.035,7,200,"power"
200,2,2,"pgls",0.09,18,200,"power"
500,2,2,"pgls",0.05,10,200,"power"
50,0.1,3,"pgls",0.055,11,200,"power"
100,0.1,3,"pgls",0.075,15,200,"power"
200,0.1,3,"pgls",0.08,16,200,"power"
500,0.1,3,"pgls",0.075,15,200,"power"
50,0.5,3,"pgls",0.075,15,200,"power"
100,0.5,3,"pgls",0.04,8,200,"power"
200,0.5,3,"pgls",0.075,15,200,"power"
500,0.5,3,"pgls",0.095,19,200,"power"
50,1,3,"pgls",0.075,15,200,"power"
100,1,3,"pgls",0.055,11,200,"power"
200,1,3,"pgls",0.055,11,200,"power"
500,1,3,"pgls",0.085,17,200,"power"
50,2,3,"pgls",0.055,11,200,"power"
100,2,3,"pgls",0.04,8,200,"power"
200,2,3,"pgls",0.045,9,200,"power"
500,2,3,"pgls",0.07,14,200,"power"
50,0.1,5,"pgls",0.095,19,200,"power"
100,0.1,5,"pgls",0.08,16,200,"power"
200,0.1,5,"pgls",0.095,19,200,"power"
500,0.1,5,"pgls",0.12,24,200,"power"
50,0.5,5,"pgls",0.115,23,200,"power"
100,0.5,5,"pgls",0.09,18,200,"power"
200,0.5,5,"pgls",0.115,23,200,"power"
500,0.5,5,"pgls",0.205,41,200,"power"
50,1,5,"pgls",0.06,12,200,"power"
100,1,5,"pgls",0.055,11,200,"power"
200,1,5,"pgls",0.06,12,200,"power"
500,1,5,"pgls",0.08,16,200,"power"
50,2,5,"pgls",0.08,16,200,"power"
100,2,5,"pgls",0.07,14,200,"power"
200,2,5,"pgls",0.06,12,200,"power"
500,2,5,"pgls",0.08,16,200,"power"
50,0.1,10,"pgls",0.125,25,200,"power"
100,0.1,10,"pgls",0.145,29,200,"power"
200,0.1,10,"pgls",0.165,33,200,"power"
500,0.1,10,"pgls",0.22,44,200,"power"
50,0.5,10,"pgls",0.105,21,200,"power"
100,0.5,10,"pgls",0.095,19,200,"power"
200,0.5,10,"pgls",0.105,21,200,"power"
500,0.5,10,"pgls",0.245,49,200,"power"
50,1,10,"pgls",0.05,10,200,"power"
100,1,10,"pgls",0.06,12,200,"power"
200,1,10,"pgls",0.12,24,200,"power"
500,1,10,"pgls",0.095,19,200,"power"
50,2,10,"pgls",0.07,14,200,"power"
100,2,10,"pgls",0.055,11,200,"power"
200,2,10,"pgls",0.05,10,200,"power"
500,2,10,"pgls",0.09,18,200,"power"
50,0.1,1,"phyloglm",0.035,7,200,"FPR"
100,0.1,1,"phyloglm",0.04,8,200,"FPR"
200,0.1,1,"phyloglm",0,0,200,"FPR"
500,0.1,1,"phyloglm",0,0,200,"FPR"
50,0.5,1,"phyloglm",0.04,8,200,"FPR"
100,0.5,1,"phyloglm",0.02,4,200,"FPR"
200,0.5,1,"phyloglm",0.005,1,200,"FPR"
500,0.5,1,"phyloglm",0,0,200,"FPR"
50,1,1,"phyloglm",0.055,11,200,"FPR"
100,1,1,"phyloglm",0.015,3,200,"FPR"
200,1,1,"phyloglm",0.005,1,200,"FPR"
500,1,1,"phyloglm",0,0,200,"FPR"
50,2,1,"phyloglm",0.025,5,200,"FPR"
100,2,1,"phyloglm",0.03,6,200,"FPR"
200,2,1,"phyloglm",0,0,200,"FPR"
500,2,1,"phyloglm",0,0,200,"FPR"
50,0.1,2,"phyloglm",0.045,9,200,"power"
100,0.1,2,"phyloglm",0.01,2,200,"power"
200,0.1,2,"phyloglm",0.005,1,200,"power"
500,0.1,2,"phyloglm",0,0,200,"power"
50,0.5,2,"phyloglm",0.09,18,200,"power"
100,0.5,2,"phyloglm",0.025,5,200,"power"
200,0.5,2,"phyloglm",0.025,5,200,"power"
500,0.5,2,"phyloglm",0,0,200,"power"
50,1,2,"phyloglm",0.065,13,200,"power"
100,1,2,"phyloglm",0.03,6,200,"power"
200,1,2,"phyloglm",0.02,4,200,"power"
500,1,2,"phyloglm",0,0,200,"power"
50,2,2,"phyloglm",0.06,12,200,"power"
100,2,2,"phyloglm",0.025,5,200,"power"
200,2,2,"phyloglm",0.005,1,200,"power"
500,2,2,"phyloglm",0.01,2,200,"power"
50,0.1,3,"phyloglm",0.055,11,200,"power"
100,0.1,3,"phyloglm",0.065,13,200,"power"
200,0.1,3,"phyloglm",0.015,3,200,"power"
500,0.1,3,"phyloglm",0,0,200,"power"
50,0.5,3,"phyloglm",0.1,20,200,"power"
100,0.5,3,"phyloglm",0.075,15,200,"power"
200,0.5,3,"phyloglm",0.035,7,200,"power"
500,0.5,3,"phyloglm",0.01,2,200,"power"
50,1,3,"phyloglm",0.105,21,200,"power"
100,1,3,"phyloglm",0.11,22,200,"power"
200,1,3,"phyloglm",0.03,6,200,"power"
500,1,3,"phyloglm",0.03,6,200,"power"
50,2,3,"phyloglm",0.045,9,200,"power"
100,2,3,"phyloglm",0.055,11,200,"power"
200,2,3,"phyloglm",0.045,9,200,"power"
500,2,3,"phyloglm",0.045,9,200,"power"
50,0.1,5,"phyloglm",0.17,34,200,"power"
100,0.1,5,"phyloglm",0.065,13,200,"power"
200,0.1,5,"phyloglm",0.06,12,200,"power"
500,0.1,5,"phyloglm",0.01,2,200,"power"
50,0.5,5,"phyloglm",0.165,33,200,"power"
100,0.5,5,"phyloglm",0.205,41,200,"power"
200,0.5,5,"phyloglm",0.175,35,200,"power"
500,0.5,5,"phyloglm",0.17,34,200,"power"
50,1,5,"phyloglm",0.165,33,200,"power"
100,1,5,"phyloglm",0.1,20,200,"power"
200,1,5,"phyloglm",0.175,35,200,"power"
500,1,5,"phyloglm",0.2,40,200,"power"
50,2,5,"phyloglm",0.135,27,200,"power"
100,2,5,"phyloglm",0.155,31,200,"power"
200,2,5,"phyloglm",0.145,29,200,"power"
500,2,5,"phyloglm",0.195,39,200,"power"
50,0.1,10,"phyloglm",0.26,52,200,"power"
100,0.1,10,"phyloglm",0.25,50,200,"power"
200,0.1,10,"phyloglm",0.255,51,200,"power"
500,0.1,10,"phyloglm",0.19,38,200,"power"
50,0.5,10,"phyloglm",0.25,50,200,"power"
100,0.5,10,"phyloglm",0.315,63,200,"power"
200,0.5,10,"phyloglm",0.37,74,200,"power"
500,0.5,10,"phyloglm",0.53,106,200,"power"
50,1,10,"phyloglm",0.155,31,200,"power"
100,1,10,"phyloglm",0.22,44,200,"power"
200,1,10,"phyloglm",0.35,70,200,"power"
500,1,10,"phyloglm",0.565,113,200,"power"
50,2,10,"phyloglm",0.135,27,200,"power"
100,2,10,"phyloglm",0.22,44,200,"power"
200,2,10,"phyloglm",0.25,50,200,"power"
500,2,10,"phyloglm",0.53,106,200,"power"
