"p.std","p.pr","p.comb.std","p.comb.pr","prune.ok","alpha","delta.th","sigma"
0.439121756487026,0.479041916167665,0.878243512974052,0.958083832335329,TRUE,8,8,1
NA,NA,0.00811359026369168,0.793388429752066,TRUE,8,8,1
0.111776447105788,0.155688622754491,0.199600798403194,0.151696606786427,TRUE,8,8,1
0.818363273453094,0.918163672654691,1,1,TRUE,8,8,1
0.031936127744511,0.0159680638722555,0.063872255489022,0.031936127744511,TRUE,8,8,1
0.0518962075848303,0.0678642714570858,0.0798403193612774,0.0958083832335329,TRUE,8,8,1
0.395209580838323,0.383233532934132,0.790419161676647,0.766467065868264,TRUE,8,8,1
0.119760479041916,0.143712574850299,0.151696606786427,0.151696606786427,TRUE,8,8,1
0.522954091816367,0.42315369261477,1,0.846307385229541,TRUE,8,8,1
0.347305389221557,0.499001996007984,0.199600798403194,0.0718562874251497,TRUE,8,8,1
0.870259481037924,0.822355289421158,1,1,TRUE,8,8,1
0.902195608782435,0.930139720558882,1,1,TRUE,8,8,1
0.0878243512974052,0.191616766467066,0.17564870259481,0.191616766467066,TRUE,8,8,1
0.00399201596806387,0.00399201596806387,0.00798403193612774,0.00798403193612774,TRUE,8,8,1
0.23030303030303,0.220440881763527,0.460606060606061,0.440881763527054,TRUE,8,8,1
NA,NA,0.0769230769230769,0.163265306122449,TRUE,8,8,1
0.311377245508982,0.259481037924152,0.622754491017964,0.518962075848303,TRUE,8,8,1
0.88622754491018,0.942115768463074,1,1,TRUE,8,8,1
0.67065868263473,0.654690618762475,1,1,TRUE,8,8,1
0.0678642714570858,0.0558882235528942,0.135728542914172,0.111776447105788,TRUE,8,8,1
0.954091816367265,0.550898203592814,0.00798403193612774,0.00798403193612774,TRUE,8,8,1
0.0360721442885772,0.02,0.0721442885771543,0.04,TRUE,8,8,1
0.890219560878243,0.882235528942116,0.630738522954092,0.838323353293413,TRUE,8,8,1
0.778443113772455,0.782435129740519,1,1,TRUE,8,8,1
0.419161676646707,0.455089820359281,0.0239520958083832,0.00798403193612774,TRUE,8,8,1
0.00798403193612774,0.0159680638722555,0.0159680638722555,0.031936127744511,TRUE,8,8,1
0.49500998003992,0.546906187624751,0.534930139720559,0.399201596806387,TRUE,8,8,1
0.239520958083832,0.451097804391218,0.479041916167665,0.407185628742515,TRUE,8,8,1
0.203592814371257,0.235528942115768,0.231536926147705,0.279441117764471,TRUE,8,8,1
0.88622754491018,0.958083832335329,0.558882235528942,0.471057884231537,TRUE,8,8,1
0.00801603206412826,0.00399201596806387,0.0160320641282565,0.00798403193612774,TRUE,8,8,1
0.37125748502994,0.307385229540918,0.74251497005988,0.614770459081836,TRUE,8,8,1
0.738522954091816,0.614770459081836,1,1,TRUE,8,8,1
0.622754491017964,0.682634730538922,1,1,TRUE,8,8,1
0.311377245508982,0.335329341317365,0.471057884231537,0.239520958083832,TRUE,8,8,1
0.526946107784431,0.514970059880239,0.383233532934132,0.534930139720559,TRUE,8,8,1
0.830339321357285,0.706586826347305,0.654690618762475,0.862275449101796,TRUE,8,8,1
0.12375249500998,0.163672654690619,0.24750499001996,0.327345309381238,TRUE,8,8,1
0.42315369261477,0.331337325349301,0.846307385229541,0.662674650698603,TRUE,8,8,1
0.17564870259481,0.243512974051896,0.0558882235528942,0.00798403193612774,TRUE,8,8,1
NA,NA,0.011142061281337,1,TRUE,8,8,1
NA,NA,0.133333333333333,1,TRUE,8,8,1
0.00401606425702811,0.004,0.00803212851405622,0.008,TRUE,8,8,1
0.00400801603206413,0.004,0.00801603206412826,0.008,TRUE,8,8,1
0.00400801603206413,0.00399201596806387,0.00801603206412826,0.00798403193612774,TRUE,8,8,1
0.131736526946108,0.139720558882236,0.263473053892216,0.223552894211577,TRUE,8,8,1
0.29940119760479,0.487025948103792,0.598802395209581,0.734530938123752,TRUE,8,8,1
0.686626746506986,0.614770459081836,0.686626746506986,0.766467065868264,TRUE,8,8,1
0.0400801603206413,0.00400801603206413,0.0801603206412826,0.00801603206412826,TRUE,8,8,1
0.0518962075848303,0.127744510978044,0.103792415169661,0.216,TRUE,8,8,1
0.243512974051896,0.19560878243513,0.487025948103792,0.391217564870259,TRUE,8,8,1
0.0240480961923848,0.0119760479041916,0.0480961923847695,0.0239520958083832,TRUE,8,8,1
0.363273453093812,0.403193612774451,0.24750499001996,0.24750499001996,TRUE,8,8,1
0.12375249500998,0.315369261477046,0.24750499001996,0.207584830339321,TRUE,8,8,1
0.574850299401198,0.538922155688623,0.926147704590818,0.878243512974052,TRUE,8,8,1
0.514970059880239,0.634730538922156,1,1,TRUE,8,8,1
0.399201596806387,0.399201596806387,0.798403193612774,0.542914171656687,TRUE,8,8,1
NA,NA,0.149152542372881,0.0125,TRUE,8,8,1
0.243512974051896,0.263473053892216,0.127744510978044,0.279441117764471,TRUE,8,8,1
0.311377245508982,0.295409181636727,0.0798403193612774,0.143712574850299,TRUE,8,8,1
0.031936127744511,0.0399201596806387,0.063872255489022,0.0798403193612774,TRUE,8,8,1
0.151696606786427,0.167664670658683,0.303393213572854,0.335329341317365,TRUE,8,8,1
0.471057884231537,0.69061876247505,0.0558882235528942,0.0239520958083832,TRUE,8,8,1
0.211576846307385,0.163672654690619,0.42315369261477,0.327345309381238,TRUE,8,8,1
0.11623246492986,0.108433734939759,0.232464929859719,0.216867469879518,TRUE,8,8,1
0.0678642714570858,0.0998003992015968,0.135728542914172,0.199600798403194,TRUE,8,8,1
0.24750499001996,0.227544910179641,0.447105788423154,0.455089820359281,TRUE,8,8,1
0.207584830339321,0.259481037924152,0.375249500998004,0.255489021956088,TRUE,8,8,1
0.107784431137725,0.111776447105788,0.0159680638722555,0.031936127744511,TRUE,8,8,1
0.0598802395209581,0.063872255489022,0.119760479041916,0.127744510978044,TRUE,8,8,1
0.642714570858283,0.662674650698603,1,1,TRUE,8,8,1
0.0878243512974052,0.119760479041916,0.17564870259481,0.239520958083832,TRUE,8,8,1
0.49500998003992,0.167664670658683,0.99001996007984,0.335329341317365,TRUE,8,8,1
0.0998003992015968,0.0280561122244489,0.199600798403194,0.0561122244488978,TRUE,8,8,1
0.534930139720559,0.646706586826347,1,1,TRUE,8,8,1
0.922155688622755,0.918163672654691,0.950099800399202,1,TRUE,8,8,1
0.179640718562874,0.179640718562874,0.359281437125749,0.359281437125749,TRUE,8,8,1
0.383233532934132,0.439121756487026,0.287425149700599,0.375249500998004,TRUE,8,8,1
NA,NA,0.0615384615384615,0.476190476190476,TRUE,8,8,1
0.17564870259481,0.19560878243513,0.351297405189621,0.391217564870259,TRUE,8,8,1
0.564,0.399201596806387,1,0.798403193612774,TRUE,8,8,1
0.0838323353293413,0.0758483033932136,0.167664670658683,0.151696606786427,TRUE,8,8,1
0.008,0.00399201596806387,0.016,0.00798403193612774,TRUE,8,8,1
0.0279441117764471,0.0119760479041916,0.0558882235528942,0.0239520958083832,TRUE,8,8,1
0.147704590818363,0.147704590818363,0.295409181636727,0.295409181636727,TRUE,8,8,1
0.291417165668663,0.271457085828343,0.582834331337325,0.542914171656687,TRUE,8,8,1
0.0481927710843374,0.00401606425702811,0.0963855421686747,0.00803212851405622,TRUE,8,8,1
0.119760479041916,0.163672654690619,0.191616766467066,0.327345309381238,TRUE,8,8,1
NA,NA,0.114285714285714,1,TRUE,8,8,1
0.283433133732535,0.291417165668663,0.56686626746507,0.582834331337325,TRUE,8,8,1
0.135728542914172,0.223552894211577,0.199600798403194,0.17564870259481,TRUE,8,8,1
0.67065868263473,0.606786427145709,0.782435129740519,1,TRUE,8,8,1
0.415169660678643,0.339321357285429,0.830339321357285,0.678642714570858,TRUE,8,8,1
0.187624750499002,0.255489021956088,0.375249500998004,0.510978043912176,TRUE,8,8,1
0.19560878243513,0.183632734530938,0.391217564870259,0.367265469061876,TRUE,8,8,1
0.347305389221557,0.447105788423154,0.694610778443114,0.303393213572854,TRUE,8,8,1
0.24750499001996,0.203592814371257,0.119760479041916,0.0718562874251497,TRUE,8,8,1
0.0598802395209581,0.111776447105788,0.119760479041916,0.223552894211577,TRUE,8,8,1
0.155688622754491,0.215568862275449,0.215568862275449,0.167664670658683,TRUE,8,8,1
0.155688622754491,0.207584830339321,0.311377245508982,0.415169660678643,TRUE,8,8,1
